Id, Situacao, qntElementos, Média, espaçoVazio
385,alocado,72,38405,2765207
205,liberado,72,38048,2739505
226,liberado,73,38321,2797498
386,alocado,74,38569,2854120
236,liberado,74,38462,2846218
77,liberado,75,38783,2908796
387,alocado,76,38476,2924224
332,liberado,76,38200,2903262
388,alocado,76,38376,2916607
227,liberado,76,37532,2852447
389,alocado,76,38083,2894330
390,alocado,76,37652,2861566
391,alocado,76,37433,2844967
392,alocado,76,37096,2819369
393,alocado,76,36585,2780484
280,liberado,76,36050,2739868
192,liberado,76,36839,2799777
367,liberado,76,37461,2847041
364,liberado,77,37331,2874552
394,alocado,77,37505,2887903
395,alocado,77,37068,2854300
396,alocado,77,36388,2801899
339,liberado,77,36346,2798674
397,alocado,78,36625,2856807
398,alocado,78,36045,2811549
399,alocado,78,35916,2801518
400,alocado,78,35635,2779578
401,alocado,78,35005,2730402
402,alocado,78,34784,2713197
157,liberado,78,34421,2684838
403,alocado,79,34036,2688875
404,alocado,79,33989,2685184
405,alocado,79,33565,2651677
406,alocado,79,33381,2637100
407,alocado,79,32874,2597065
173,liberado,79,32709,2584045
408,alocado,79,33271,2628459
409,alocado,79,33162,2619819
410,alocado,79,32598,2575296
411,alocado,79,31979,2526383
412,alocado,79,31380,2479057
212,liberado,79,30978,2447293
413,alocado,79,31386,2479550
202,liberado,79,30699,2425245
291,liberado,79,31149,2460831
346,liberado,80,31302,2504233
222,liberado,79,31811,2513139
414,alocado,80,32151,2572126
318,liberado,80,31852,2548236
389,liberado,80,32323,2585844
195,liberado,80,32732,2618608
415,alocado,81,33064,2678200
416,alocado,81,32578,2638883
417,alocado,81,32063,2597107
357,liberado,81,31874,2581802
418,alocado,82,31631,2593743
419,alocado,82,30872,2531572
420,alocado,82,30484,2499765
421,alocado,82,30018,2461549
422,alocado,82,29990,2459229
147,liberado,82,29672,2433151
423,alocado,82,30324,2486597
424,alocado,82,30244,2480057
425,alocado,82,29613,2428345
426,alocado,82,29261,2399449
427,alocado,82,28521,2338735
44,liberado,82,27898,2287684
428,alocado,82,28171,2310024
219,liberado,82,27619,2264836
429,alocado,82,27858,2284356
430,alocado,82,27374,2244744
431,alocado,82,26911,2206731
149,liberado,82,26812,2198600
49,liberado,82,27352,2242868
334,liberado,82,27560,2259997
361,liberado,81,28276,2290412
47,liberado,82,28436,2331760
432,alocado,81,29428,2383675
433,alocado,81,29185,2364026
434,alocado,81,28643,2320100
91,liberado,81,28421,2302177
435,alocado,81,28989,2348171
436,alocado,81,28785,2331659
437,alocado,81,28492,2307866
404,liberado,81,28389,2299524
438,alocado,81,28802,2333031
439,alocado,81,28397,2300166
440,alocado,81,28075,2274138
441,alocado,81,27595,2235246
