Id, Situacao, qntElementos, Média, espaçoVazio 
574,alocado,107,22335,2389906
575,alocado,107,22313,2387522
576,alocado,107,22091,2363754
577,alocado,107,21790,2331623
578,alocado,107,21526,2303374
579,alocado,107,21403,2290131
47,liberado,107,21350,2284477
580,alocado,107,21805,2333164
137,liberado,107,21562,2307196
581,alocado,107,21829,2335769
582,alocado,107,21575,2308531
583,alocado,107,21475,2297869
584,alocado,107,21357,2285238
504,liberado,107,21265,2275407
238,liberado,108,21406,2311947
322,liberado,108,21923,2367752
585,alocado,108,22222,2400079
71,liberado,108,22063,2382829
586,alocado,107,22380,2394761
587,alocado,107,22379,2394642
588,alocado,107,21865,2339598
104,liberado,107,21472,2297572
545,liberado,107,21806,2333311
576,liberado,107,22165,2371692
589,alocado,107,22465,2403823
590,alocado,107,22217,2377258
36,liberado,107,22164,2371590
409,liberado,107,22462,2403470
107,liberado,107,22855,2445574
145,liberado,106,23266,2466261
305,liberado,105,23605,2478576
591,alocado,105,23802,2499256
534,liberado,105,23302,2446746
592,alocado,106,23515,2492662
593,alocado,106,23315,2471471
300,liberado,106,23233,2462730
594,alocado,105,23861,2505476
